Home Type,Address,City,State,Zip,Listing Price,Baths,Beds,SQFT,Year Built,Airbnb Cash on Cash
Single Family Residential,1514 English Oak Drive,Champaign,IL,61822,685000,5,3,2840,2010,0.834059
Single Family Residential,5002 Emmas Way,Champaign,IL,61822,349900,3,4,1926,2016,1.34984
Townhouse,3922 SUMMER SAGE Court,Champaign,IL,61822,194900,3,3,1600,2017,8.62982
Single Family Residential,6 The Heather,Champaign,IL,61820,126900,2,3,1330,1959,14.5172
Single Family Residential,5013 Stonebridge Drive,Champaign,IL,61822,369900,4,4,2336,2006,1.11681
Single Family Residential,1604 West Church Street,Champaign,IL,61821,109900,2,2,1253,1925,5.41441
Single Family Residential,1505 English Oak Drive,Champaign,IL,61822,429000,5,4,2950,2015,0.693469
Single Family Residential,5001 Trey Boulevard,Champaign,IL,61822,595000,4,3,4182,2016,1.35753
Single Family Residential,409 Krebs Drive,Champaign,IL,61822,264900,3,4,2262,2016,2.47701
Single Family Residential,1807 Vale Street,Champaign,IL,61822,485000,4,4,4420,2005,0.358223
Single Family Residential,3810 Patriot Lane,Champaign,IL,61822,457500,3,3,2130,2016,2.39695
Single Family Residential,1106 Glen Abbey Drive,Champaign,IL,61822,449900,4,4,2849,2016,0.558589
Single Family Residential,3211 West John Street,Champaign,IL,61821,92900,1,3,1084,1979,20.6391
Single Family Residential,1914 Max Run Drive,Champaign,IL,61822,349900,4,4,2266,2016,1.34984
Single Family Residential,811 West Park Avenue,Champaign,IL,61820,187000,2,3,2380,1913,9.14123
Single Family Residential,4415 Southford Trace Drive,Champaign,IL,61822,595000,5,4,4487,2003,-0.150188
Single Family Residential,1304 English Oak Drive,Champaign,IL,61822,569900,4,4,3675,2017,-0.088245
Single Family Residential,1411 Greenbriar Drive,Champaign,IL,61820,79900,1,2,800,1962,8.27715
Single Family Residential,1722 Henry Street,Champaign,IL,61821,150000,2,3,1472,1961,11.9412
Single Family Residential,2902 West Kirby Avenue,Champaign,IL,61822,111000,2,4,1286,1963,9.01152
Single Family Residential,5007 Abbey Fields Drive,Champaign,IL,61822,449900,4,3,2142,2017,2.50812
Single Family Residential,3605 Marjorie Lane,Champaign,IL,61822,189900,3,4,2014,,4.34918
Single Family Residential,2110 Scottsdale Drive,Champaign,IL,61822,269900,3,4,3686,1991,2.405
Single Family Residential,4507 Southford Trace Dr,Champaign,IL,61822,649900,4,4,,,-0.293416
Single Family Residential,1207 West Union Street,Champaign,IL,61821,125000,2,3,1375,1950,14.7714
Single Family Residential,1618 Sandcherry Court,Champaign,IL,61822,489900,5,3,3980,2010,2.04124
Townhouse,3901 Summer Sage Court,Champaign,IL,61822,164900,3,3,1458,2004,10.6201
Single Family Residential,1903 Bentbrook Drive,Champaign,IL,61822,450000,3,4,3934,1993,0.546863
Single Family Residential,4811 Oakdale Drive,Champaign,IL,61822,424900,4,4,3484,2016,0.686183
Single Family Residential,701 West Green Street,Champaign,IL,61820,235000,2,4,2189,1908,3.09038
Single Family Residential,2407 Wendover Place,Champaign,IL,61822,330000,4,4,2429,1994,1.51906
Single Family Residential,4501 Southford Trace Drive,Champaign,IL,61822,460000,4,4,3804,2002,0.4978
Single Family Residential,504 South Fair Street,Champaign,IL,61821,81000,1,2,720,,8.13473
Single Family Residential,4814 West Bloomington Road,Champaign,IL,61822,139900,2,3,2659,1950,12.9628
Single Family Residential,2003 Sangamon Drive,Champaign,IL,61821,114900,2,4,1581,1958,8.63063
Single Family Residential,1318 Williamsburg Drive,Champaign,IL,61821,79500,1,3,999,1959,24.4904
Single Family Residential,1807 Foxborough Court,Champaign,IL,61822,849000,6,4,7040,1998,-0.813547
Single Family Residential,209.5 West Charles Street,Champaign,IL,61820,115000,1,2,1160,1903,5.07629
Single Family Residential,610 Haines Boulevard,Champaign,IL,61820,124900,2,4,2441,1965,7.76268
Condo/Coop,1 East Main Street #408,Champaign,IL,61820,179900,2,2,1215,2004,0.213141
Single Family Residential,201 North Elm Street,Champaign,IL,61820,989000,5,4,4536,1855,-0.950558
Single Family Residential,4003 Riverknoll Drive,Champaign,IL,61822,469900,3,4,3613,1988,0.419471
Single Family Residential,2403 Cherry Hills Drive,Champaign,IL,61822,229800,3,4,2415,1987,3.17768
Condo/Coop,3854 Thornhill Drive #3854,Champaign,IL,61822,94900,2,2,1224,2005,4.65958
Single Family Residential,2801 Blair Drive,Champaign,IL,61821,134000,3,3,1496,1962,13.6309
Single Family Residential,903 South State Street,Champaign,IL,61820,89500,1,2,782,1941,7.15227
Single Family Residential,914 South Lynn Street,Champaign,IL,61820,114500,2,3,1869,1940,16.3287
Single Family Residential,807 Erin Drive,Champaign,IL,61822,159900,2,3,1350,1999,11.0651
Single Family Residential,2102 MAX RUN Drive,Champaign,IL,61822,347900,4,4,2197,2017,1.32719
Single Family Residential,1504 Gates Place,Champaign,IL,61820,115000,2,3,1293,1959,16.2481
Single Family Residential,1723 Westhaven Drive,Champaign,IL,61820,102500,1,3,1025,1955,18.4991
Single Family Residential,403 Bardeen Lane,Champaign,IL,61822,204435,2,3,1458,2017,8.17316
Single Family Residential,1109 Mimosa Drive,Champaign,IL,61821,77100,1,4,1128,1961,13.9455
Single Family Residential,4008 Pinecrest Drive,Champaign,IL,61822,400000,4,4,3579,1988,0.873971
Single Family Residential,1607 Mullikin Drive,Champaign,IL,61822,799000,6,4,5390,2005,-0.72616
